Date,Afirme Bajio,Azteca,Banamex,Bancomer,Banorte Generali,Coppel,HSBC,Inbursa,Invercap,Metlife,PensionISSSTE,Principal,Profuturo GNP,SURA,XXI Banorte
1/1/11,6.13,5.96,7.08,6.31,5.38,5.45,6.66,5.48,5.19,6.35,NA,6.72,7.63,8.18,6.81
2/1/11,5.60,5.41,6.35,5.63,4.71,5.22,6.26,5.31,4.30,5.67,NA,5.95,6.99,7.60,6.30
3/1/11,5.13,4.97,6.35,5.47,4.49,4.94,5.88,5.26,3.89,5.55,4.35,5.66,6.54,7.18,5.97
4/1/11,6.30,6.23,7.46,6.55,5.55,5.57,7.01,5.24,5.16,6.95,5.50,6.90,8.16,8.41,7.28
5/1/11,6.87,7.42,7.86,7.15,5.98,5.85,7.71,5.12,6.10,7.64,6.13,7.59,8.81,8.99,8.10
6/1/11,8.44,9.52,10.21,9.29,8.77,7.46,9.57,5.75,8.89,9.99,8.21,9.89,11.74,11.64,10.66
7/1/11,8.84,9.32,10.96,9.69,8.93,7.81,9.66,6.10,8.77,10.44,8.36,10.20,11.85,11.65,10.65
8/1/11,8.89,9.80,10.65,9.79,8.34,7.77,9.87,5.87,9.29,10.75,8.20,9.90,11.25,10.89,10.41
9/1/11,8.40,9.30,10.92,9.72,7.57,7.83,NA,6.14,9.09,10.39,8.16,9.76,10.61,10.91,10.01
10/1/11,10.17,11.35,15.20,13.61,9.84,9.67,NA,6.84,15.99,13.30,10.88,12.77,14.02,15.02,12.80
11/1/11,10.34,11.56,15.16,13.63,9.27,9.70,NA,6.77,15.69,13.19,10.85,12.53,14.16,15.06,12.68
12/1/11,9.14,9.65,12.66,11.62,7.18,8.70,NA,6.42,12.46,11.16,10.59,11.04,11.61,12.61,10.97
1/1/12,9.01,9.49,12.39,11.68,NA,8.24,NA,6.22,13.00,11.25,10.79,11.55,11.32,12.71,11.12
2/1/12,8.75,9.25,12.10,11.38,NA,8.11,NA,6.30,12.97,11.30,10.81,11.53,11.21,12.51,10.99
3/1/12,8.64,9.18,12.00,11.35,NA,8.08,NA,6.36,13.23,11.47,10.77,11.64,11.13,12.45,10.96
4/1/12,8.81,9.45,12.43,11.76,NA,8.30,NA,6.46,14.04,11.97,11.04,12.06,11.60,12.84,11.30
5/1/12,8.96,9.71,12.79,12.14,NA,8.49,NA,6.57,14.86,12.36,11.22,12.37,12.00,13.19,11.57
6/1/12,9.02,9.87,12.99,12.35,NA,8.58,NA,6.64,15.22,12.59,11.36,12.54,12.29,13.39,11.73
7/1/12,9.07,10.05,13.30,12.69,NA,8.72,NA,6.77,15.72,13.09,11.73,12.92,12.82,13.71,12.06
8/1/12,9.14,10.23,13.61,13.03,NA,8.84,NA,6.87,16.10,13.46,11.99,13.21,13.27,14.01,12.34
9/1/12,9.19,10.35,13.87,13.28,NA,8.93,NA,6.93,16.30,13.69,12.22,13.38,13.64,14.24,12.54
10/1/12,9.13,10.34,13.90,13.34,NA,8.92,NA,6.96,16.14,13.71,12.37,13.38,13.81,14.30,12.59
11/1/12,8.98,10.19,13.73,13.18,NA,8.81,NA,6.90,15.59,13.56,12.40,13.24,13.75,14.16,12.50
12/1/12,8.89,10.06,13.62,13.09,NA,8.74,NA,6.86,15.21,13.47,12.47,13.15,13.70,14.10,12.46
1/1/13,8.82,9.95,13.45,12.95,NA,8.70,NA,6.79,14.93,13.32,12.45,12.99,13.52,13.99,12.36
2/1/13,8.78,9.94,13.36,12.90,NA,8.71,NA,6.72,14.74,13.24,12.49,12.90,13.43,13.95,12.36
3/1/13,8.77,9.94,13.33,NA,NA,8.75,NA,6.63,14.59,13.23,12.57,12.85,13.40,13.97,12.43
4/1/13,8.74,9.92,13.32,NA,NA,8.77,NA,6.51,14.40,13.21,12.59,12.80,13.35,13.98,12.53
5/1/13,8.66,9.93,13.38,NA,NA,8.83,NA,6.45,14.28,13.25,12.66,12.78,13.39,14.07,12.70
6/1/13,8.31,9.72,13.07,NA,NA,8.63,NA,6.40,13.74,12.88,12.46,12.39,13.08,13.77,12.43
7/1/13,7.85,9.44,12.74,NA,NA,8.35,NA,6.38,13.16,12.38,12.16,11.89,12.67,13.44,12.07
8/1/13,7.46,9.12,12.34,NA,NA,8.08,NA,6.37,12.53,11.85,11.87,11.40,12.23,13.06,11.66
9/1/13,7.14,8.91,12.03,NA,NA,7.85,NA,6.37,12.05,11.44,11.66,11.01,11.88,12.78,11.32
10/1/13,6.76,8.68,11.65,NA,NA,7.59,NA,6.41,11.51,10.97,11.42,10.53,11.48,12.45,10.90
11/1/13,6.45,8.42,11.28,NA,NA,7.31,NA,6.43,10.97,10.51,11.16,10.10,11.05,12.10,10.46
12/1/13,6.38,8.35,11.22,NA,NA,7.24,NA,6.46,10.77,10.39,11.08,10.00,10.91,12.05,10.38
1/1/14,6.36,8.33,11.19,NA,NA,7.21,NA,6.44,10.62,10.36,11.03,9.97,10.85,12.04,10.34
2/1/14,6.32,8.32,11.19,NA,NA,7.19,NA,6.41,10.55,10.35,11.00,9.95,10.82,12.04,10.29
3/1/14,6.24,8.27,11.19,NA,NA,7.20,NA,6.37,10.45,10.34,10.97,9.91,10.83,12.01,10.25
4/1/14,NA,8.21,11.12,NA,NA,7.18,NA,6.31,10.30,10.28,10.90,9.82,10.77,11.91,10.16
5/1/14,NA,8.26,11.15,NA,NA,7.30,NA,6.25,10.35,10.32,10.93,9.82,10.83,11.94,10.17
6/1/14,NA,8.36,11.25,NA,NA,7.48,NA,6.21,10.48,10.44,11.03,9.87,10.98,12.06,10.25
